mythic_level,clear_time_ms,keystone_time_ms,num_chests,score,time_remaining_ms,dungeon_name,player,completed_at
9,2143935,1980999,0,271.9,-162936,Operation: Floodgate,Larssondk,2025-08-13T07:35:03.000Z
9,2143935,1980999,0,271.9,-162936,Operation: Floodgate,Daydreaming,2025-08-13T07:35:03.000Z
9,2143935,1980999,0,271.9,-162936,Operation: Floodgate,Alexmae,2025-08-13T07:35:03.000Z
9,2143935,1980999,0,271.9,-162936,Operation: Floodgate,Yearnvoker,2025-08-13T07:35:03.000Z
9,2143935,1980999,0,271.9,-162936,Operation: Floodgate,Tmi-245605792,2025-08-13T07:35:03.000Z
9,3169720,1980999,0,0,-1188721,Operation: Floodgate,Momobami,2025-08-13T11:55:15.000Z
9,3169720,1980999,0,0,-1188721,Operation: Floodgate,Magicwingers,2025-08-13T11:55:15.000Z
9,3169720,1980999,0,0,-1188721,Operation: Floodgate,Lenus,2025-08-13T11:55:15.000Z
9,3169720,1980999,0,0,-1188721,Operation: Floodgate,Glerm,2025-08-13T11:55:15.000Z
9,3169720,1980999,0,0,-1188721,Operation: Floodgate,Yearnvoker,2025-08-13T11:55:15.000Z
8,2068234,1860999,0,255.8,-207235,Eco-Dome Al'dani,Momobami,2025-08-13T12:40:18.000Z
8,2068234,1860999,0,255.8,-207235,Eco-Dome Al'dani,Magicwingers,2025-08-13T12:40:18.000Z
8,2068234,1860999,0,255.8,-207235,Eco-Dome Al'dani,Lenus,2025-08-13T12:40:18.000Z
8,2068234,1860999,0,255.8,-207235,Eco-Dome Al'dani,Alexmae,2025-08-13T12:40:18.000Z
8,2068234,1860999,0,255.8,-207235,Eco-Dome Al'dani,Yearnvoker,2025-08-13T12:40:18.000Z
4,1585497,1980999,1,207.5,395502,Operation: Floodgate,Unamithil,2025-08-13T13:08:45.000Z
4,1585497,1980999,1,207.5,395502,Operation: Floodgate,Ruana,2025-08-13T13:08:45.000Z
4,1585497,1980999,1,207.5,395502,Operation: Floodgate,Potato,2025-08-13T13:08:45.000Z
